[0.10 - 4.76] 這個數十加持幾乎在山上我們得過好多遍這個傳承
[1493.26 - 1496.14] 就是仰賴上師的意智慧
[1496.32 - 1496.97] 然後呢
[1496.97 - 1498.41] 如如不動的什麼
[1498.41 - 1500.42] 滿平親切的
[1500.42 - 1502.64] 這個注入到自的相序當中
[1502.68 - 1505.38] 或者說融入到自的相序當中
[1505.68 - 1506.62] 自的信念
[1507.12 - 1508.85] 變跟上師的意智慧
[1508.85 - 1512.26] 是無二無別的方式來獲得這個證悟
[1512.40 - 1514.72] 所以說所有的加持當中
[1514.86 - 1515.70] 日傳
[1515.72 - 1519.04] 意傳加持的智慧是最重要的
[1519.34 - 1522.20] 也就是要得到上師的日傳
[1522.36 - 1523.62] 意傳加持
[1523.72 - 1525.10] 和他的相序
[1525.22 - 1526.70] 這個完全相同
[1526.84 - 1530.40] 凡夫的自的這種起心動念的這顆心
[1530.66 - 1533.22] 念了完全變成上師的心
[1533.40 - 1535.32] 上師的意傳智慧
[1535.46 - 1537.31] 然後變成上師的智慧
[1537.31 - 1541.22] 就是用聚組這種聖解性的方式去祈禱
[1541.94 - 1542.23] 好
[1542.23 - 1543.34] 去祈禱
[1543.50 - 1546.56] 如果在這個的時候有點大悅滿的直直的心
[1546.86 - 1549.86] 那麼就變得特別殊勝了
[1550.02 - 1550.60] 然後呢
[1550.90 - 1552.72] 但沒有理解的話就是什麼
[1553.08 - 1556.14] 我們知道祈禱上師的這個意傳
[1556.16 - 1558.38] 跟自的心無二無別的方式
[1558.68 - 1562.12] 去念誦這個祈禱文
[1562.16 - 1565.04] 就是我們講的理解意傳加持的目的
[1565.06 - 1566.14] 這個大概的意思
[1566.88 - 1568.24] 那麼我們講說這個
[1569.32 - 1569.52] 對吧
[1569.94 - 1571.68] 那麼我們這個祈禱文呢
[1571.84 - 1575.68] 我們在這一段時間要念誦一萬到十萬遍
[1575.88 - 1577.68] 那麼大家就要反復的念
[1578.12 - 1579.22] 念不動的時候呢
[1579.68 - 1581.68] 就如果沒有一點安住在
[1583.04 - 1586.34] 像陰涵般什麼不思考的境界當中
[1586.54 - 1588.40] 能安住多久就能安住
[1588.96 - 1589.54] 然後呢
[1589.72 - 1591.70] 這個如果在起心了
[1592.02 - 1593.68] 在什麼反復的去什麼
[1593.86 - 1595.32] 在念誦這個祈禱文
[1595.38 - 1598.46] 就是這個修持的一個目的
[1598.84 - 1600.68] 那麼就是要念很長時間
[1600.98 - 1602.52] 要得到上師的加持
[1602.66 - 1604.34] 自的心也會這個
[1605.26 - 1606.68] 慢慢的這變調有
[1606.84 - 1607.78] 會這個
[1608.96 - 1611.40] 得到他的這種真正的
[1612.20 - 1613.22] 證悟的加持
[1613.62 - 1615.44] 那麼這個呢就是要
[1616.26 - 1618.52] 所有的這個上師瑜伽的核心
[1618.54 - 1620.46] 就是這四句的祈禱文
[1620.56 - 1621.62] 那麼這個技術呢
[1621.64 - 1624.72] 我們要以信心的方式反復的祈禱
[1625.46 - 1626.68] 反復的去念誦
[1628.02 - 1629.72] 至少呢再念誦一萬遍
[1630.64 - 1631.76] 那麼這麼去祈禱以後呢
[1632.50 - 1634.72] 以致的這種強烈的信心
[1635.18 - 1636.46] 一遍一遍的像什麼
[1636.86 - 1639.72] 我心唯寧知唯寧巧的方式
[1640.50 - 1643.70] 來祈求這個一傳證悟的方式
[1644.16 - 1644.70] 這樣方式呢
[1645.32 - 1648.68] 念誦祈禱文來呼喚這個上師
[1648.68 - 1648.72] 然後呢
[1650.56 - 1652.72] 祈禱上師給我們這種一傳加持
[1653.52 - 1656.68] 然後呢大家信心祈禱上師的智慧
[1656.88 - 1659.68] 慢慢慢慢就湧入到我們的相序當中
[1660.34 - 1661.30] 這個就是這樣子
[1661.58 - 1667.60] 那麼後面呢這個就是我們要知道
[1668.60 - 1669.58] 就是要對一什麼念
[1671.62 - 1672.72] 這個新的這種本性呢
[1673.08 - 1675.32] 大家有機會呢去慢慢的去一什麼念
[1675.84 - 1677.64] 因為也是很簡單
[1677.78 - 1679.60] 如果懂了原話是很簡單的
[1681.46 - 1682.70] 又想講又想那個什麼
[1683.26 - 1685.58] 就是說呢大家就慢慢的去文思
[1685.94 - 1690.88] 去慢慢的去獲得這種對信心的確實
[1692.66 - 1693.68] 這個我們講的斷定
[1693.94 - 1698.44] 然後呢在不被他套的這種定解當中
[1698.72 - 1699.54] 能安住多久
[1699.62 - 1701.38] 就安住多久就可以了
[1701.70 - 1702.68] 安住完以後呢
[1702.74 - 1705.68] 我們就開始這個後師念什麼
[1706.10 - 1707.68] 後師以成嘛
[1707.82 - 1710.36] 就是上師化為五官的名典
[1710.48 - 1713.60] 然後呢從之的頭頂湧入到自的心間
[1714.20 - 1716.64] 那麼比如說湧入到自的頭頂的話
[1716.80 - 1717.68] 可以獲得什麼呢
[1718.18 - 1720.68] 這個身冠頂
[1721.24 - 1723.30] 然後湧入到自的這個欲
[1723.92 - 1725.46] 然後呢可以獲得什麼呢
[1725.90 - 1726.66] 意冠頂
[1727.06 - 1730.68] 然後呢這個我們講欲淪漫欲精剛
[1731.28 - 1733.68] 然後呢湧入到自的心獲得身精剛
[1734.26 - 1736.26] 然後呢自他無惡無彼
[1736.26 - 1737.72] 然後呢從之的頭頂可以獲得什麼呢
[1738.70 - 1740.56] 這個覺性妙麗的這個冠頂
[1743.68 - 1743.72] 也可以這樣子
[1743.72 - 1744.00] 如果有的話可以這麼去觀想
[1745.70 - 1747.46] 那麼這個從之的頭頂像五官一樣嘛
[1748.70 - 1749.84] 這個自信五官的智慧呢
[1750.70 - 1754.28] 就是我們講正物一傳自信不滅的這種五官界
[1755.70 - 1756.60] 然後呢湧入到自的心間
[1757.70 - 1761.54] 然後觀想上師相序當中的種種的功德
[1763.20 - 1764.74] 然後呢傳播都無虞的獲得
[1765.70 - 1769.22] 然後自的分別念跟上師的智慧變成無惡無彼
[1769.82 - 1772.40] 在這境界中稍許安住
[1773.14 - 1775.42] 稍許安住就是能安住多久
[1775.86 - 1776.78] 就安住多久
[1777.08 - 1779.04] 如果有一定的延緩
[1779.90 - 1781.82] 可能安住兩秒
[1783.30 - 1785.74] 或者是一秒
[1786.30 - 1786.70] 然後呢
[1787.06 - 1787.68] 然後呢
[1787.68 - 1788.40] 然後呢
[1789.46 - 1789.50] 然後呢
[1789.50 - 1792.50] 可能安住兩秒
[1792.58 - 1795.64] 或者是一個百字名的時間算是很厲害了
[1796.28 - 1797.08] 那麼這個
[1799.32 - 1800.68] 這個能有上師的支持
[1801.04 - 1801.64] 然後呢
[1801.78 - 1803.68] 在這種斷定的基礎上的時候呢
[1804.28 - 1805.48] 你就做了一件事情
[1806.00 - 1807.68] 就專注關心
[1808.36 - 1809.48] 就專注關心
[1810.48 - 1813.66] 就要能有這種確信了
[1814.04 - 1816.62] 那麼就專注的去觀
[1817.24 - 1818.72] 觀完安住以後呢
[1819.90 - 1820.70] 要出定以後呢
[1821.16 - 1822.50] 要這種分別念以後
[1822.80 - 1823.58] 要開始什麼
[1824.00 - 1825.16] 要後面念誦
[1825.72 - 1827.70] 一邊念誦一邊觀想說
[1828.06 - 1829.70] 後師已成五光之名典
[1830.66 - 1831.58] 開始帶著這種方式
[1831.82 - 1832.68] 後面念誦說
[1833.14 - 1835.22] 由從自頂聖入於心間
[1835.76 - 1838.32] 當師諸佛智慧種及師
[1838.50 - 1840.70] 獲得與彼同分之加持
[1841.36 - 1842.26] 那麼就是這樣子
[1842.42 - 1843.72] 就是成了以鬼後面
[1844.16 - 1845.74] 剛剛講了這個觀想的那種
[1846.60 - 1847.40] 那麼就是說
[1848.42 - 1849.72] 當師聚集五種光明
[1850.32 - 1851.60] 就是五光的名典
[1852.22 - 1853.72] 那麼有的說這個大小啊
[1854.74 - 1855.42] 沒有個量
[1855.58 - 1857.44] 大家聚集這種觀想就行了
[1858.06 - 1858.86] 那麼這個
[1859.74 - 1861.40] 這個祈禱
[1861.72 - 1862.64] 然後呢
[1862.68 - 1866.42] 像是從頭頂慢慢湧入到心間
[1866.64 - 1868.56] 湧入心間就是五光之名典
[1869.08 - 1869.58] 然後呢
[1869.70 - 1870.70] 住在心間裏面
[1871.22 - 1872.62] 住在心間的目的呢
[1872.68 - 1874.72] 就是要達到上師的智慧
[1874.72 - 1876.56] 湧入至的心間
[1877.04 - 1879.68] 和至的心完全融合
[1880.16 - 1882.70] 至的心跟上師的智慧
[1882.90 - 1884.24] 變成我無別
[1884.42 - 1885.24] 我無別
[1885.38 - 1887.40] 那麼這個就是我們講
[1888.16 - 1892.38] 說這個當師諸佛智慧種及師
[1892.56 - 1895.70] 就是說一些諸佛智慧種及的上師啊
[1896.26 - 1896.68] 然後呢
[1897.18 - 1898.46] 要祈求所義
[1898.48 - 1900.70] 獲得以彼同分之加持
[1901.22 - 1903.44] 就是說上師有怎麼樣的智慧
[1903.48 - 1904.56] 有什麼樣的悲心
[1904.90 - 1906.34] 有什麼樣的功德
[1907.26 - 1909.54] 還有這個神通種子的哲學
[1909.78 - 1910.66] 所有一些呢
[1910.96 - 1913.42] 傳播自也同樣獲得
[1913.62 - 1916.64] 所以說獲得同分之加持
[1916.98 - 1917.38] 然後呢
[1917.38 - 1918.58] 要有這種祈願
[1918.72 - 1919.64] 那麼這個時候呢
[1919.66 - 1920.54] 上師當中
[1921.14 - 1922.53] 這個智慧呢
[1922.53 - 1924.12] 就慢慢次第的湧入
[1925.28 - 1925.68] 至的心
[1926.00 - 1926.50] 然後呢
[1927.62 - 1928.43] 把這個時候呢
[1928.43 - 1929.26] 至的庸俗
[1930.26 - 1931.28] 這分別念
[1931.30 - 1933.56] 通通我都要斬斷掉
[1933.56 - 1934.16] 要斷除
[1935.20 - 1935.70] 不要虛則
[1936.26 - 1937.26] 也不要想著
[1938.70 - 1939.70] 各種分別忘念
[1940.38 - 1941.54] 那麼這個時候呢
[1942.34 - 1943.48] 這史書的這個
[1945.06 - 1945.68] 這個心
[1946.48 - 1947.68] 實際上要有個確信
[1947.90 - 1949.68] 跟上師是我無別的意思
[1950.68 - 1951.68] 那麼這個呢
[1951.84 - 1953.74] 就是上師的智慧湧入到我們心間
[1953.74 - 1953.78] 然後呢
[1955.56 - 1957.60] 心裡面完全只有上師
[1957.70 - 1958.70] 或者說完全呢
[1959.16 - 1960.84] 就是跟上師的智慧湧入到我們心間
[1960.84 - 1961.86] 跟上師的智慧我無別
[1962.34 - 1963.27] 因為本身呢
[1963.27 - 1963.96] 我們的心
[1964.82 - 1966.22] 也是本來具有佛性嘛
[1966.28 - 1968.40] 只不過是有這種分別忘念
[1968.92 - 1970.46] 執著所不能正的
[1970.60 - 1972.50] 最中間的這種障礙
[1972.60 - 1974.12] 那麼我們要斷掉這種
[1974.42 - 1975.44] 分別的忘念
[1975.58 - 1976.20] 然後呢
[1977.42 - 1978.42] 跟上師
[1978.68 - 1979.54] 斷掉以後呢
[1979.54 - 1981.22] 跟上師的這種智慧
[1981.28 - 1982.50] 達到我無別
[1982.68 - 1984.14] 那麼通過這樣次第
[1984.16 - 1985.12] 慢慢的湧入
[1985.14 - 1986.78] 上師的強烈的加持
[1987.44 - 1989.10] 就加上我們本來
[1989.20 - 1991.24] 具有佛性的這種確信
[1991.40 - 1991.89] 然後呢
[1991.89 - 1993.78] 斷掉這種分別忘念
[1993.94 - 1994.48] 然後呢
[1994.70 - 1995.70] 佛性的智慧呢
[1995.70 - 1997.28] 這樣而言就顯露出來了
[1997.96 - 1998.38] 這個呢
[1998.70 - 1999.04] 很深的
[1999.72 - 2000.82] 可以講別的東西的話
[2001.62 - 2002.06] 可以講很多
[2002.06 - 2003.04] 如果大家
[2004.14 - 2005.42] 這個再去什麼
[2006.22 - 2007.06] 去閱讀啊
[2007.06 - 2007.93] 聽聞的時候呢
[2007.93 - 2009.50] 你們會慢慢的這個
[2010.88 - 2012.53] 知道了本來要給大家
[2012.53 - 2013.26] 但是呢
[2013.68 - 2015.38] 也就是大概就是這樣子吧
[2015.50 - 2017.29] 再講很深的意思的話
[2017.29 - 2018.14] 我也不太會
[2018.64 - 2018.97] 然後呢
[2018.97 - 2020.80] 你們就用這個
[2022.12 - 2023.14] 這個信心
[2023.30 - 2024.50] 然後多多的去
[2025.78 - 2026.10] 念
[2026.18 - 2027.28] 就是我們講說
[2027.70 - 2028.12] 就是
[2028.38 - 2029.56] 先祈禱上師
[2029.60 - 2030.60] 在觀智的心
[2030.86 - 2032.26] 然後把智的心安住
[2032.80 - 2034.68] 放鬆的方法交替
[2034.88 - 2036.34] 輪番的方式來修
[2036.62 - 2037.07] 然後呢
[2037.07 - 2038.06] 體會到什麼
[2038.48 - 2040.20] 一些外境跟智的心呢
[2040.20 - 2042.48] 都變成空性的境界當中
[2042.62 - 2043.34] 下功夫
[2043.44 - 2044.26] 然後呢
[2044.30 - 2045.70] 再帶著對上師的
[2045.86 - 2047.18] 智慧跟智的心
[2047.20 - 2049.02] 我無別的方式去什麼
[2049.44 - 2050.02] 安住
[2050.12 - 2050.68] 然後呢
[2050.70 - 2053.32] 在心不離安住的這種境界當中
[2053.60 - 2054.60] 能護時多久
[2054.80 - 2055.68] 就能護時多久
[2056.02 - 2056.55] 後面呢
[2056.55 - 2057.78] 就去再修這個
[2058.24 - 2059.06] 大概的意思
[2059.22 - 2060.28] 你們就知道了
[2060.32 - 2061.16] 然後呢
[2061.30 - 2061.70] 就是
[2062.78 - 2064.42] 獲得上師的相應法
[2064.62 - 2065.68] 就是在這裡當中
[2065.86 - 2066.68] 就簡單來講
[2066.78 - 2067.34] 就是這樣子
[2067.88 - 2069.42] 那麼實際上上師呢
[2069.92 - 2071.24] 就是我們講說
[2071.24 - 2072.42] 諸佛的總級
[2072.56 - 2073.20] 然後呢
[2073.20 - 2074.00] 通過什麼
[2074.00 - 2075.10] 外在的上師
[2075.68 - 2076.34] 然後呢
[2076.34 - 2077.72] 認識我們呢
[2077.90 - 2079.44] 這個內在的上師
[2079.54 - 2081.64] 要通過惡者我無別的方式
[2082.08 - 2083.36] 觀想我無別嘛
[2083.50 - 2084.10] 然後呢
[2084.14 - 2085.30] 來證悟一傳
[2085.32 - 2086.10] 得加持
[2086.52 - 2087.08] 然後呢
[2087.08 - 2089.24] 跟他智慧我無別的方式
[2089.28 - 2090.36] 然後同樣獲得
[2091.50 - 2092.43] 那麼這個呢
[2092.43 - 2094.98] 就是我們要念誦的這個祈禱
[2095.20 - 2095.87] 然後呢
[2095.87 - 2096.76] 在這個後面
[2097.42 - 2098.34] 在念完這個
[2098.50 - 2099.60] 就是一般的話
[2099.66 - 2100.58] 是要安住的
[2100.62 - 2101.68] 就是我們剛才後面
[2101.76 - 2102.68] 要朝中講的
[2102.68 - 2103.44] 就是安住
[2103.94 - 2104.68] 那安住呢
[2104.68 - 2104.74] 安住呢
[2104.74 - 2105.88] 有一個一分鐘
[2106.04 - 2107.88] 或是一個百字明的時間
[2108.54 - 2109.68] 那麼這個時候呢
[2109.84 - 2111.22] 沒有什麼分別念
[2111.32 - 2112.28] 要斷掉它
[2112.52 - 2114.40] 那麼這個上師的智慧
[2115.08 - 2115.46] 跟這個
[2116.12 - 2116.68] 這個智的心
[2116.78 - 2118.12] 通過這種念誦
[2118.20 - 2119.40] 強烈的加持
[2119.72 - 2120.36] 然後呢
[2120.60 - 2122.70] 在這個離析的狀態當中
[2122.92 - 2124.50] 一剎那跟上師相應
[2124.88 - 2125.50] 然後呢
[2125.70 - 2127.36] 這是很重要的加持的
[2127.80 - 2128.70] 實際上證悟解脫
[2129.10 - 2129.68] 就是在這個
[2130.08 - 2130.68] 你能保住
[2131.02 - 2131.68] 保驗多久
[2132.26 - 2133.48] 如果你24小時
[2133.94 - 2135.38] 在這種心念當中
[2135.74 - 2137.36] 跟上師的意志會
[2137.36 - 2138.24] 臥無別的話
[2138.32 - 2139.52] 實際上你就是佛了
[2139.76 - 2140.50] 結果是我們
[2141.00 - 2142.44] 由於什麼往昔
[2142.58 - 2144.26] 很多的習氣的緣故
[2144.60 - 2145.70] 沒有真正的安住
[2146.16 - 2146.56] 或者說
[2146.82 - 2148.74] 哪怕這個一剎那的安住
[2148.74 - 2149.18] 都很難安住
[2150.12 - 2151.68] 但是現實的這個
[2152.30 - 2153.70] 在這個安住的過程當中
[2154.36 - 2154.72] 實際上呢
[2154.98 - 2156.70] 就斷出了惡許的分別
[2157.48 - 2158.64] 在這個狀態當中
[2158.96 - 2159.62] 就是解脫
[2160.26 - 2161.22] 就是這個
[2162.50 - 2163.42] 我們講的說
[2164.20 - 2166.26] 跟佛臥無別的這種聖節
[2166.66 - 2167.52] 就是這個意思
[2168.14 - 2168.70] 那麼這個呢
[2168.70 - 2170.16] 就是我們講的說
[2170.34 - 2171.00] 很重要
[2171.18 - 2173.22] 所以說要修上師的相應法
[2173.38 - 2175.00] 就是在這種方式當中
[2175.34 - 2175.88] 這個
[2177.32 - 2177.68] 做的
[2177.90 - 2178.38] 也就是
[2178.62 - 2179.08] 我們講
[2179.36 - 2181.16] 要去這種方式去觀想
[2181.40 - 2182.54] 那麼慢慢慢慢把
[2182.56 - 2183.58] 這個分別念
[2183.68 - 2184.60] 觀成了
[2184.60 - 2185.42] 門來親近
[2185.84 - 2186.26] 然後呢
[2186.26 - 2187.10] 像上師一樣
[2187.56 - 2189.02] 的這種情況
[2189.82 - 2190.50] 進階嘛
[2190.54 - 2191.68] 一步一步的去觀想
[2191.88 - 2192.38] 祈禱
[2192.40 - 2192.97] 然後呢
[2192.97 - 2193.74] 慢慢融入
[2193.74 - 2194.92] 融入然後安住
[2195.00 - 2196.36] 安住在跟上師
[2196.78 - 2197.48] 意志會
[2197.48 - 2198.70] 惡無別的境界當中
[2199.18 - 2200.62] 大概就是這麼一個過程
[2200.94 - 2201.42] 然後呢
[2201.42 - 2203.68] 大家就一遍又一遍的去念誦
[2204.02 - 2205.60] 帶著這種信心去祈禱
[2206.10 - 2207.70] 慢慢就會得到上師的
[2207.70 - 2208.58] 傳分的
[2209.36 - 2210.38] 滿分的加持
[2210.66 - 2211.60] 那麼那時候呢
[2211.64 - 2213.34] 滿分的加持就是真物了
[2213.60 - 2214.43] 那這部分呢
[2214.43 - 2215.60] 就是最重要的
[2216.22 - 2217.32] 那融入的這部分
[2217.32 - 2218.28] 跟安住
[2219.12 - 2219.72] 它實際上呢
[2219.72 - 2220.26] 就是
[2220.62 - 2221.60] 要有種信心
[2221.78 - 2222.68] 惡無別的部分
[2223.08 - 2224.70] 要有種信心的方式
[2224.70 - 2225.10] 要有個確信
[2225.20 - 2225.98] 要有個斷定
[2225.98 - 2226.02] 一定要知道
[2226.70 - 2227.60] 要有個斷定
[2229.50 - 2230.42] 後面你安住
[2231.44 - 2231.76] 觀察以後呢
[2231.76 - 2232.74] 認識信心
[2233.68 - 2233.72] 然後呢
[2234.50 - 2235.68] 再通過這種方式
[2236.10 - 2237.42] 對信心有個什麼
[2238.16 - 2238.72] 斷定的認識
[2239.38 - 2239.68] 然後呢
[2239.90 - 2240.70] 在上師的
[2241.58 - 2242.60] 智慧跟自信
[2242.76 - 2243.70] 惡無別的狀態當中
[2244.02 - 2244.40] 安住
[2245.16 - 2245.70] 能安住多久
[2245.92 - 2246.38] 就安住
[2246.78 - 2247.34] 然後呢
[2247.52 - 2248.46] 在前面當中
[2248.46 - 2249.32] 還是強調了
[2249.66 - 2251.24] 那如果你的質量
[2251.84 - 2252.68] 信心很足
[2252.90 - 2253.40] 然後呢
[2253.40 - 2254.58] 觀想的能力也很大
[2254.70 - 2255.70] 對信心的確認
[2256.12 - 2257.18] 等眾多的
[2258.30 - 2259.50] 因素都具足了
[2259.58 - 2261.18] 那麼你修上師瑜伽
[2261.68 - 2262.60] 質量就特別高
[2263.44 - 2263.46] 那麼
[2263.56 - 2264.38] 這個時候呢
[2265.38 - 2265.40] 你
[2265.54 - 2266.28] 實際上呢
[2267.12 - 2267.14] 這個
[2267.18 - 2268.56] 這個修上師瑜伽
[2268.64 - 2269.40] 就得力了
[2269.76 - 2270.53] 那後面呢
[2270.53 - 2271.15] 就開始
[2271.15 - 2272.13] 起定以後呢
[2272.13 - 2273.20] 就開始觀想
[2273.32 - 2274.02] 觀想說
[2274.74 - 2274.76] 今天
[2274.86 - 2276.50] 這個修上師瑜伽
[2276.82 - 2277.34] 的這種
[2278.28 - 2278.70] 功德呢
[2279.12 - 2279.44] 就是
[2280.84 - 2281.70] 開始回向
[2281.72 - 2282.48] 回向呢
[2283.10 - 2283.68] 就是要
[2284.30 - 2284.54] 這個
[2284.90 - 2285.72] 在祈禱當中
[2286.72 - 2287.68] 回向就是說
[2288.60 - 2289.72] 一心一意的祈禱上師
[2290.54 - 2291.70] 然後開始念誦
[2291.70 - 2291.72] 這個
[2293.10 - 2293.68] 發願力
[2293.84 - 2294.48] 發願文
[2294.58 - 2295.26] 就是說
[2295.74 - 2296.58] 都能遇到
[2296.68 - 2297.22] 這樣子
[2297.26 - 2298.28] 親近的上師
[2298.56 - 2298.86] 就說
[2298.90 - 2299.88] 生生世世
[2299.88 - 2300.76] 不離世
[2301.18 - 2302.09] 恒時享用
[2302.09 - 2302.78] 聖法樂
[2302.84 - 2303.70] 圓滿地道
[2303.70 - 2304.58] 功德以
[2306.68 - 2306.72] 然後呢
[2306.72 - 2306.76] 就開始
[2307.96 - 2308.70] 去念誦這個
[2308.70 - 2309.40] 經剛詞
[2309.62 - 2310.72] 在念誦這個技術
[2311.24 - 2311.76] 那麼念誦這個技術的話
[2312.50 - 2312.68] 在
[2313.68 - 2313.72] 坐上
[2313.94 - 2314.72] 就是修嘛
[2314.72 - 2315.70] 上坐修
[2316.68 - 2316.72] 然後呢
[2316.84 - 2317.74] 要一心一意的
[2318.04 - 2318.72] 去祈禱
[2319.08 - 2319.72] 那麼坐下呢
[2320.68 - 2320.70] 就是
[2321.08 - 2321.70] 我們講要
[2321.92 - 2322.74] 行住坐臥的時候呢
[2323.22 - 2323.68] 起念
[2323.68 - 2324.19] 行住坐臥
[2324.19 - 2324.29] 起坐以後呢
[2324.70 - 2325.38] 有種行住坐臥
[2325.70 - 2327.04] 那我們要有一種
[2327.18 - 2327.98] 確信就是
[2328.06 - 2329.27] 把任何的
[2329.27 - 2330.44] 外境的顯現
[2331.38 - 2331.68] 都要
[2331.86 - 2332.42] 光為
[2333.16 - 2333.70] 上師的
[2334.28 - 2334.68] 幻化
[2335.22 - 2335.68] 光為
[2335.84 - 2336.40] 上師
[2336.52 - 2337.26] 一些都是
[2337.38 - 2338.38] 上師的由物
[2339.00 - 2339.22] 然後
[2339.24 - 2339.80] 比如說
[2340.00 - 2340.64] 我們見聞
[2340.84 - 2342.40] 見到了一些的設法
[2342.52 - 2343.70] 都是上師的顯現
[2343.70 - 2344.10] 然後
[2344.70 - 2345.68] 所聽到的
[2345.82 - 2346.68] 一些的聲音
[2346.68 - 2346.76] 都是上師的
[2346.76 - 2346.78] 語
[2349.18 - 2349.68] 然後呢
[2349.68 - 2349.96] 一些起心動念
[2350.70 - 2351.34] 不管是
[2351.70 - 2353.48] 參心
[2354.30 - 2354.68] 稱心
[2355.50 - 2355.70] 然後呢
[2356.18 - 2356.58] 實際上
[2356.68 - 2357.40] 都是什麼
[2357.56 - 2358.52] 上師的智慧
[2359.02 - 2359.50] 因為
[2359.68 - 2360.12] 本來
[2360.12 - 2361.50] 萬法就是這樣子的
[2362.06 - 2362.70] 因為上師
[2362.70 - 2363.62] 因為上師的
[2363.72 - 2364.68] 實相跟空性
[2365.30 - 2365.74] 跟自的光明
[2365.74 - 2365.80] 由來這樣
[2367.48 - 2367.61] 是
[2367.61 - 2368.30] 本來就
[2369.24 - 2369.72] 與我無別的
[2369.72 - 2369.80] 那麼帶著這種
[2369.80 - 2370.32] 內在的實相
[2370.70 - 2372.38] 當都是上師
[2372.38 - 2373.70] 然後呢
[2373.70 - 2373.72] 這個
[2373.72 - 2375.38] 開始要觀想
[2375.80 - 2376.70] 就是我們講的
[2376.70 - 2376.72] 說
[2376.72 - 2377.75] 自在上坐的時候
[2377.75 - 2378.90] 相應
[2379.96 - 2380.70] 然後呢
[2380.70 - 2380.82] 要在下坐當中
[2381.08 - 2381.72] 要
[2382.68 - 2383.28] 這個
[2384.10 - 2384.58] 護使
[2384.76 - 2385.40] 去主重
[2385.64 - 2385.90] 聲
[2386.48 - 2387.02] 聲音
[2387.10 - 2388.06] 見聞所知
[2388.22 - 2389.14] 這種方式
[2389.68 - 2389.71] 來
[2389.71 - 2390.68] 都是上師的
[2391.20 - 2391.72] 上師去
[2392.16 - 2393.02] 這個
[2393.02 - 2394.72] 應詞嘛
[2394.72 - 2394.82] 就是在這個時候
[2394.82 - 2396.48] 相應
[2396.60 - 2397.19] 比如說
[2397.19 - 2397.38] 在坐下的時候
[2397.70 - 2398.22] 相應
[2398.86 - 2399.66] 睡覺的時候
[2399.88 - 2400.26] 也具足
[2400.70 - 2401.34] 上師安住在
[2401.70 - 2402.76] 自的心間
[2403.10 - 2404.36] 然後在光明的夢境當中
[2404.70 - 2405.52] 在睡覺
[2405.70 - 2407.07] 那麼這時候
[2407.07 - 2407.58] 我們講說
[2407.88 - 2408.50] 20小時
[2408.70 - 2408.78] 都沒有分開
[2409.72 - 2411.19] 比如說
[2411.19 - 2411.27] 還有一種是
[2411.70 - 2412.18] 在坐下的時候
[2414.32 - 2414.68] 就
[2414.68 - 2415.46] 這個祈禱
[2416.06 - 2416.72] 然後坐後
[2416.72 - 2416.82] 請住坐臥的時候
[2416.82 - 2416.84] 開始
[2417.70 - 2418.74] 觀想上師
[2419.40 - 2419.76] 開始
[2420.14 - 2421.41] 觀想上師
[2421.41 - 2422.42] 在自的右肩
[2422.74 - 2423.35] 然後呢
[2423.35 - 2423.98] 祈禱
[2424.12 - 2424.68] 鑽鑰
[2425.24 - 2425.76] 然後呢
[2425.76 - 2426.18] 都是
[2427.30 - 2428.38] 跟他相應
[2428.82 - 2429.14] 那麼
[2429.20 - 2430.04] 這個時候呢
[2430.84 - 2430.86] 就是
[2431.78 - 2432.70] 後勤當中的
[2433.04 - 2433.68] 說的這種
[2434.14 - 2434.58] 情況
[2434.98 - 2435.72] 後勤當中的情況
[2435.72 - 2436.52] 大概的話
[2437.44 - 2438.74] 就是這個祈禱文當中的
[2438.74 - 2438.86] 所要講的內容
[2440.36 - 2440.56] 那麼
[2441.02 - 2442.72] 就要在這種方式當中
[2443.46 - 2443.70] 大家呢
[2444.02 - 2444.48] 就
[2444.86 - 2445.62] 明天開始
[2445.94 - 2446.68] 或者是有時間
[2446.94 - 2447.18] 然後
[2447.18 - 2448.10] 經常去修
[2449.08 - 2449.66] 大概的話
[2449.66 - 2450.50] 就是
[2451.28 - 2451.56] 這個
[2452.58 - 2452.70] 講解
[2452.70 - 2452.76] 可能大家的話
[2454.84 - 2455.74] 也不一定能講得對
[2456.42 - 2456.60] 但是呢
[2457.00 - 2457.66] 能盡量的
[2457.66 - 2458.08] 跟大家
[2458.84 - 2459.68] 重複的方式
[2459.78 - 2460.38] 跟大家分享
[2460.62 - 2461.36] 大家呢
[2461.36 - 2462.28] 就好好的去
[2462.28 - 2462.32] 祈禱
[2464.14 - 2464.50] 念書
[2464.98 - 2465.18] 好
[2465.34 - 2466.72] 我們今天簡單就講到這
[2467.20 - 2467.68] 後面呢
[2467.70 - 2468.30] 休息一下
[2468.36 - 2469.14] 我們念一下
[2469.20 - 2470.58] 連詩的略撰
[2471.50 - 2471.70] 然後呢
[2471.98 - 2472.68] 這個就快了
[2473.30 - 2473.54] 大家
